RefID,Authors,Year,Title,Players exhibit octave?,Notes on octave equivalence,Tuning octaves?,Note name octaves?,Parallel octaves?,Secondary source?,Quantitative Support Presence?,Quantitative Support Absence?,Total measured scales,Frac Present,Frac Absent,Other Notes
15,Kubik,1980,Likembe tuning of Kufuna Kandonga (Angola),Yes,Mentions singing in parallel octaves. Likembe is tuned consistently to within 9 Hz of an octave.,No,,Yes,,0,0,5,,,"5 Tunings taken from the same instrument, tuned by the same player on different days. 'Kufuna has never shown any sign that he conceived of more than precisely one tuning pattern for his likembe. He always tuned his instrument to the same hexa- tonic scale, though with certain objectively measurable fluctuations in the intervals. These fluctuations, however, occurred within a clearly delimited margin of tolerance that was intra-culturally acceptable to him.' It's also curious to hear that the author does not seem to mind the differences in tuning, despite being able to perceive them."
16,Van Zanten,1980,The equidistant heptatonic scale of the Asena in Malawi,Yes,Part of the tuning procedure is to 'check the octaves'.,Yes,,,,10,0,31,0.32258064516129,0,
17,Zemp,1981,Melanesian solo polyphonic panpipe music,Yes,"Evidence that parallel octaves are played, and they have a name for the octave: 'the octaves were blown in parallel by two instruments of different sizes+IBkAOw- 'Sunai and To'ihi'ona from Hautahe were the only musicians who used this term for the relationship of an octave, the common designation being suri 'au or aano suri'",No,Yes,Yes,,4,0,8,0.5,0,
18,Aning,1982,Tuning the kora: A case study of the norms of a Gambian musician,No,"The author writes about octaves in the tuning of the kora, and notes that many strings are an octave apart. However, deviations from the octave leave the author unsure about whether there is a systematically regular tuning pattern for the kora. However there are a remarkable number of strings tuned to within 20 cents of an octave. The author repeatedly neglects to take into account imprecision in both tuning fork measurements, and the human ear, as acceptable reasons for deviations from theoretical ideals. Incidentally, it is noted that the tuner pays particular attention to the intonation of two sets of strings, each a fifth apart.",No,,,,2,0,2,1,0,
19,"Ho, Han",1982,On Chinese scales and national modes,No,"The author remarks little on the use of the octave, and seems to have a similar understanding to that of Western music theory. 'The Chinese use wusheng, and qisheng liusheng, to denote and 7-tone 6-tone, 5-tone, yinjie scales These terms refer to the number of pitches respectively. within an octave.'",,,,Yes,0,0,0,,,
20,Kubik,1984,A structural examination of homophonic multi-part sining in east and central Africa,Yes,'the man's and the woman's vocal lines sometimes sound in octaves...',,,Yes,,0,0,0,,,
21,Kubik,1985,African tone-systems: a reassessment,Yes,'The intervals struck simultaneously in the xylophone music of southern Cameroon are mainly thirds and octaves',Yes,Yes,Yes,,0,0,0,,,Describes notes in a scale using numbers; then upper and lower octaves are called 'husbands' and 'wives'
22,Gottllieb,1986,Music of the blue nile province,Yes,'This may be an intentional stretching of the octave since the same tuning is consistently used in performances',No,,,,1,0,4,0.25,0,
23,"Yu-an, Carterette, Yu-Kui",1987,A comparison of the musical scales of the ancient Chinese bronze bell ensemble and the modern bamboo flute,No,No mention is made of how the instruments were played and whether octaves are prominent. The authors note that both flute and bells have a 'true octave'.,,,,,1,0,4,0.25,0,
24,"Keefe, Burns, Nguyen",1991,Vietnamese modal scales of the dan tranh,Yes,"'Traditional Vietnamese music, like many other music culture octave equivalence and uses a scale system with discrete pitch classes.'",,Yes,,Yes,0,0,5,0,0,
25,Tracey,1991,Kambazithe Makolekole and his valimba group,Yes,It is noted of the player/tuner that 'he checks octaves' while tuning.,Yes,,,,1,0,1,1,0,
26,"Carterette, Kendall, de Vale",1993,Comparative acoustical and psychoacoustical analyses of gamelan instrument tones,No,"Stretched octaves have been well-documented in Gamelan music, and the octave is repeatedly referred to here.",,,,Yes,0,0,2,0,0,
27,Schneider,2001,"Sound, pitch, and scale: From 'tone measurements' to sonological analysis in ethnomusicology",No,Stretched octaves have been well-documented in Gamelan music.,,,,Yes,1,0,2,0.5,0,
28,"Attakitmongcol, Chinvejkitvanich, Sujitjorn",2004,Characterization of traditional thai musical scale,No,Refers to Thai octave; notes that the octave is used in theory.,,Yes,,Yes,0,0,2,0,0,
29,"Zhang, Xiao, Lee",2004,The early development of music: analysis of the jiahu bone flutes,No,Not possible to establish for these prehistoric flutes.,,,,,0,0,5,0,0,
30,Sethares,2005,"Tuning, Timbre, Spectrum, Scale",No,Stretched octaves have been well-documented in Gamelan music.,,,,Yes,4,0,4,1,0,
31,"McNeil, Mitran",2008,Vibrational frequencies and tuning of the african mbira,No,,,,,,1,0,1,1,0,
32,Strand,2009,The Sambla Xylophone: Tradition and Identity in Burkina Faso,Yes,Pitches tend to have the same name across multiple octaves (with the exception of the 'baana' pitch); this seems like evidence of equivalence on the part of the performers.,,Yes,,,3,0,4,0.75,0,
33,Kuss,2010,Music in Latin America and the Caribbean: An Encyclopedic History,Yes,"Refers to sets of aerophones playing in parallel octaves, and being tuned an octave apart.",Yes,,Yes,,2,0,5,0.4,0,
34,Garzoli,2015,The myth of equidistance in thai tuning,No,"'However, many tuners do not intend to tune the octave to a ratio of 1:2, but aim for a marginally larger interval.' Marginally here meaning about 10 cents.",,,,Yes,5,0,7,0.714285714285714,0,
35,Wisuttipat,2015,Relative nature of thai traditional music through its tuning system,Yes,Discusses the octave as an integral part of the scale.,,,,Yes,3,0,4,0.75,0,
36,"Morkonr, Punkubutra",2018,The collecting process of xylophone's sound d (ranad xek) from art to numerical data,No,See above for references on Thai music.,,,,Yes,1,0,1,1,0,
37,Bader,2019,Temperament in tuning systems of southeast asia and ancient india,No,The author measured the tuning of Cambodian instruments bought in Russia; no mention is made of the original performers.,,,,Yes,1,0,3,0.333333333333333,0,
38,Kimberlin,1976,Masinqo and the Nature of Qanat,Yes,'Qanat is an interval set which consists of five basic pitches plus the octave and provides the tonal basis for any musical composition.',,,,Yes,0,0,4,0,0,
39,Nam,1998,Pitch distributions in korean court music: Evidence consistent with tonal hierarchies,No,Author barely discusses the octave.,,,,Yes,0,0,3,0,0,
40,"Weisser, Falceto",2013,Investigating qanat in amhara secular music: An acoustic and historical study,Yes,See reference +AFs-38+AF0- for discussion of qanat,,,,Yes,0,0,28,0,0,
41,Ambrazevicius,2005,The perception and transcription of the scale reconsidered: Several lithuanian cases,No,Never mentioned,,,,,0,0,2,0,0,
42,Ambrazevicius,2006,Modelling of scales in traditional solo singing,No,Never mentioned,,,,,0,0,7,0,0,"The author notes that the notes produced on the instrument can, depending on how it is played, vary by about 30 cents."
43,Cooke,1971,Ludaya - a transverse flute from eastern uganda,No,"The only possible notes on this flute are two series of harmonics (flute has no finger holes). However, the first harmonic is unattainable so the natural octave between the first two harmonics is not possible. Furthermore, the 'player selects from both series of harmonics' in such a way that the second harmonics are not used. As a result, the next natural octave is not found (between 2nd and 4th harmonics)",,,,,0,0,1,0,0,
44,Garfias,1975,Preliminary thoughts on burmese modes,Yes,"The author notes 'a rather complex orally transmitted theory of the music exists', and that the octave and fifths are given special status when tuning.",Yes,Yes,,,1,0,3,0.333333333333333,0,
45,Jones,1966,A kwaiker indian xylophone,No,No mention is made of how the instruments were played and whether octaves are prominent.,,,,,0,0,1,0,0,
46,Jones,1960, Indonesia and africa: The xylophone as a culture-indicator,No,Secondary source; doesn't discuss specific aspects of individual musical traditions,,,,,0,0,10,0,0,
47,Kubik,1962,The endara xylophone of bukonjo,No,Only speculation by the author.,,,,,0,0,2,0,0,"This instrument is supposed to have 14 keys, and be played by 7-14 players. It seems unlikely (only a few speciifc examples are given) that this is used to construct long and complex melodies, but much more likely that rhythmic complexity is emphasised."
48,Kubik,1963,Discovery of a trough xylophone in northern mozambique,Yes,"Two players play at the same time, and they often play in parallel octaves.",,,Yes,,0,0,1,0,0,
49,Kubik,1992,Embaire xylophone music of samusiri babalanda ,Yes,References are made to both playing in parallel octaves and also paying attention to octaves during tuning.,Yes,,Yes,,0,0,1,0,0,
50,Thrasher,1978,The transverse flute in traditional chinese music,Yes,"Author discusses playing of the second harmonics, corresponding to an octave above the fundamental.",,Yes,,Yes,0,0,5,0,0,
51,Blasco,1990,Afinacion de las marimbas en la costa paciica colombiana: Un ejemplo de la memoria interv+AOE-lica africana en colombia,No,"The author speculates, but no mention is made of how the instruments were played.",,,,,0,1,9,0,0.111111111111111,See Guillermo Abadia Morales
52,"Sundberg, Tjernlund",1969,Computer measurements of the tone scale in performed music by means of frequency histograms,No,No mention is made of how the instruments were played.,,,,,0,0,2,0,0,
53,Copeland,2018,Pitch and tuning in beninese brass bands,Yes,"While the author does not directly address the use of the octave, it is clear that the players are heavily influenced by western music. See Fig 3 for a player's use of solfege notation; the transcriptions were made by one of the players, on Western staff notation, which has octave notes clearly shown; one player mentions using an electronic tuner on a mobile phone.",,,,,0,0,2,0,0,
54,Miller,1985,Traditional Music of the Lao: Kaen Playing and Mawlum Singing in Northeast Thailand,Yes,"Octave pairs are named with a mother-child relationship. Absolute pitch can be fixed according to: the singer that the kaen will accompany; a soloist's taste; if for a kaen troupe then the pitches are standardized. Octave tuning is 'corrected +//0A4v/9AID//QCm- until +//0A4v/9AID//QCm- pure', and tunes reeds together if they are related by an octave. 'Pitches may be  played singly or in octaves'",Yes,Yes,Yes,,2,0,3,0.666666666666667,0,'It is usual among conscientious makers that in a finished kaen the nodes should form a straight line just below the windchest.'
55,"Scherbaum, Mzhavanadze, Arom, Rosenweig, Muller",2020,"Tonal Organization of the Erkomaishvili Dataset: Pitches, Scales, Melodies and Harmonies.",No,"Although debated, quotes other sources as saying that fifths are the most important part of scales, not octaves; octaves are typically stretched by 40-50 cents.",No,,No,,2,0,9,0.222222222222222,0,
56,"Mzhavanadze, Scherbaum",2020,Svan funeral dirges (zar): Musicological analysis,No,Singing is mostly constrained to within an octave,No,,No,,0,0,22,0,0,
57,"Mokhtar, Mosharrafa",1937,Modes in modern egyptian music,No,Very little detail given - article is less than a page long.,,,,Yes,0,0,1,0,0,
58,Tan,2011,Ney Ackisinin Tarihi Ve Teknik Gelisimi,No,,,,,Yes,0,0,9,0,0,
59,Mendes,2012,Fe no pife: as flautas de pifano no contexto cultural da banda cabacal dos Irmaos Aniceto,No,Not discussed in enough detail.,,,,,1,0,3,0.333333333333333,0,
60,"Pantelli, Purwins",2013,"A quantitative comparison of chrysanthine theory and performance practice of scale tuning, steps, and prominence of the octoechos in byzantine chant",Yes,Octave equivalence is part of Chrystanthine theory,,Yes,,,0,0,8,0,0,
